species,Pioneering,Expansion, Stability,Unfilling ,Abandonment ,sum,Pioneering,Expansion, Stability,Unfilling ,Abandonment 
Hypolimnas_misippus_category_quantity,0.474333419,4.457099665,24.56651215,2.20989992,1.301519479,33.00936463,1.436966219,13.50253092,74.42285674,6.694766605,3.942879524
Hypolycaena_erylus_category_quantity,2.329940983,8.585272736,62.87083773,12.59023325,10.41313312,96.78941782,2.407226984,8.87005308,64.95631356,13.00786133,10.75854505
Iambrix_salsala_category_quantity,2.822395767,1.029995616,71.6943694,21.14157539,2.092479541,98.78081571,2.857230674,1.04270815,72.57924414,21.40251145,2.11830559
Idea_leuconoe_category_quantity,1.223589506,9.531557284,82.51307803,19.41825759,42.16579159,154.852274,0.790165668,6.155258194,53.2850283,12.5398595,27.22968834
Ideopsis_similis_category_quantity,0.422765155,17.11612966,22.12840945,11.46818158,8.950232255,60.0857181,0.703603399,28.4861864,36.82806855,19.08636851,14.89577314
Ideopsis_vulgaris_category_quantity,0.317721472,6.681366956,11.41462786,0.404090591,15.25518551,34.07299239,0.932473052,19.60898203,33.50051481,1.185955687,44.77207442
Iraota_timoleon_category_quantity,0.34656301,1.343682271,28.81137474,20.73891132,0.096169404,51.33670075,0.675078462,2.617391168,56.12237312,40.39782654,0.187330706
Isoteinon_lamprospilus_category_quantity,0.01778491,15.12945131,40.88388225,26.41524049,17.81734334,100.2637023,0.017738134,15.08965953,40.77635407,26.3457661,17.77048217
Ixias_pyrene_category_quantity,0.533008703,4.526551442,44.81861311,11.69141025,0.359347054,61.92893056,0.860678036,7.3092679,72.37104324,18.87875367,0.580257161
Jamides_alecto_category_quantity,0.35705147,5.137437127,64.33820787,57.63653014,1.714783694,129.1840103,0.276389833,3.976836696,49.80353816,44.61583907,1.327396239
Jamides_bochus_category_quantity,0.779290957,4.861102622,64.69092878,13.45543185,5.17487354,88.96162775,0.875985497,5.464268972,72.71778903,15.12498387,5.816972633
Jamides_celeno_category_quantity,2.498423013,1.487580911,70.41067287,10.71556207,1.427774328,86.54001319,2.887014828,1.718951565,81.36198537,12.38220527,1.649842975
Junonia_almana_category_quantity,0.60180437,6.58321071,41.189961,6.354434689,0.372020052,55.10143082,1.092175577,11.94744059,74.75297898,11.53224988,0.675154976
Junonia_atlites_category_quantity,1.118991456,6.534546017,65.8623121,18.51958572,0.180771496,92.21620679,1.213443379,7.086114518,71.42162359,20.08278844,0.196030071
Junonia_hedonia_category_quantity,0.531234587,4.177017761,29.30028741,2.301101526,15.55921945,51.86886073,1.024187884,8.053035486,56.48916709,4.436383397,29.99722614
Junonia_hierta_category_quantity,0.185180735,4.00812314,27.28829371,3.45510164,0.702226087,35.63892531,0.519602467,11.24647588,76.56878952,9.694741381,1.970390748
Junonia_iphita_category_quantity,2.175290492,2.14700306,90.50977098,18.66647779,1.910369445,115.4089118,1.884854868,1.860344255,78.42528761,16.1742083,1.655304964
Junonia_lemonias_category_quantity,0.550038563,4.135043438,41.3200419,6.760321423,0.371263426,53.13670875,1.035138562,7.781896048,77.76176371,12.72250687,0.69869481
Junonia_orithya_category_quantity,1.272836275,3.529018582,48.25608142,4.090982704,0.331648273,57.48056725,2.214376677,6.139498531,83.95199234,7.117157849,0.5769746
