model,threshold,thr_value,n_presences,n_absences,TPR_mean,TPR_sd,TNR_mean,TNR_sd,SORENSEN_mean,SORENSEN_sd,JACCARD_mean,JACCARD_sd,FPB_mean,FPB_sd,OR_mean,OR_sd,TSS_mean,TSS_sd,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd
max,max_sorensen,0.87315146,85,10000,0.543491884,0.12125783,0.9861,0.002792848,0.337613362,0.066585037,0.204698513,0.050228264,0.409397025,0.100456527,0.456508116,0.12125783,0.529591884,0.121073101,0.969761246,0.006367452,0.943861462,0.018217537,0.941170395,0.006967309
max,sensitivity,0.40089599,85,10000,0.869907707,0.017806515,0.93,0.018721645,0.176467372,0.023982672,0.096925734,0.0145875,0.193851467,0.029175,0.130092293,0.017806515,0.799907707,0.015768413,0.969761246,0.006367452,0.943861462,0.018217537,0.941170395,0.006967309
max,equal_sens_spec,0.10319946,90,10000,0.923571551,0.024117789,0.9314,0.036059673,0.220518618,0.079181783,0.125702115,0.049991477,0.251404229,0.099982953,0.076428449,0.024117789,0.854971551,0.059279683,0.982463177,0.012080772,0.967464083,0.024706231,0.97737747,0.002270269
max,lpt,0.01516439,90,10000,1,0,0.8776,0.109303705,0.201817154,0.119080965,0.116097167,0.0729456,0.232194335,0.145891199,0,0,0.8776,0.109303705,0.982463177,0.012080772,0.967464083,0.024706231,0.97737747,0.002270269
max,max_fpb,0.69279748,90,10000,0.670368077,0.087095113,0.9965,0.0015,0.651662981,0.08668368,0.48818991,0.095102475,0.97637982,0.19020495,0.329631923,0.087095113,0.666868077,0.087497747,0.982463177,0.012080772,0.967464083,0.024706231,0.97737747,0.002270269
max,max_jaccard,0.69279748,90,10000,0.670368077,0.087095113,0.9965,0.0015,0.651662981,0.08668368,0.48818991,0.095102475,0.97637982,0.19020495,0.329631923,0.087095113,0.666868077,0.087497747,0.982463177,0.012080772,0.967464083,0.024706231,0.97737747,0.002270269
max,max_sens_spec,0.12007534,90,10000,0.938421053,0.084366632,0.9635,0.013,0.3226706,0.058288248,0.193514039,0.041107011,0.387028078,0.082214023,0.061578947,0.084366632,0.901921053,0.074999243,0.982463177,0.012080772,0.967464083,0.024706231,0.97737747,0.002270269
max,max_sorensen,0.69279748,90,10000,0.670368077,0.087095113,0.9965,0.0015,0.651662981,0.08668368,0.48818991,0.095102475,0.97637982,0.19020495,0.329631923,0.087095113,0.666868077,0.087497747,0.982463177,0.012080772,0.967464083,0.024706231,0.97737747,0.002270269
max,sensitivity,0.15607987,90,10000,0.888195734,0.009885253,0.9108,0.084146153,0.236559659,0.135197142,0.139368763,0.085153381,0.278737526,0.170306763,0.111804266,0.009885253,0.798995734,0.075567392,0.982463177,0.012080772,0.967464083,0.024706231,0.97737747,0.002270269
max,equal_sens_spec,0.18384984,96,10000,0.844093567,0.035579761,0.8389,0.028944775,0.092594502,0.015761281,0.048601523,0.008590083,0.097203047,0.017180166,0.155906433,0.035579761,0.682993567,0.063874467,0.931667427,0.016685746,0.941325006,0.029111267,0.910677569,0.006193105
max,lpt,0.02429782,96,10000,1,0,0.6836,0.057802898,0.058750989,0.011308332,0.030292469,0.005995166,0.060584937,0.011990331,0,0,0.6836,0.057802898,0.931667427,0.016685746,0.941325006,0.029111267,0.910677569,0.006193105
max,max_fpb,0.95026486,96,10000,0.39497076,0.135950354,0.9912,0.014237275,0.388438931,0.107926903,0.245321569,0.080108071,0.490643139,0.160216143,0.60502924,0.135950354,0.38617076,0.124399705,0.931667427,0.016685746,0.941325006,0.029111267,0.910677569,0.006193105
max,max_jaccard,0.95026486,96,10000,0.39497076,0.135950354,0.9912,0.014237275,0.388438931,0.107926903,0.245321569,0.080108071,0.490643139,0.160216143,0.60502924,0.135950354,0.38617076,0.124399705,0.931667427,0.016685746,0.941325006,0.029111267,0.910677569,0.006193105
max,max_sens_spec,0.18173355,96,10000,0.947777778,0.072818055,0.7822,0.11106901,0.094968239,0.051735431,0.050487335,0.029281477,0.100974669,0.058562954,0.052222222,0.072818055,0.729977778,0.049493711,0.931667427,0.016685746,0.941325006,0.029111267,0.910677569,0.006193105
max,max_sorensen,0.95026486,96,10000,0.39497076,0.135950354,0.9912,0.014237275,0.388438931,0.107926903,0.245321569,0.080108071,0.490643139,0.160216143,0.60502924,0.135950354,0.38617076,0.124399705,0.931667427,0.016685746,0.941325006,0.029111267,0.910677569,0.006193105
max,sensitivity,0.11541574,96,10000,0.895672515,0.00461581,0.7404,0.038253104,0.062760489,0.008340138,0.032412124,0.004430085,0.064824248,0.00886017,0.104327485,0.00461581,0.636072515,0.039106062,0.931667427,0.016685746,0.941325006,0.029111267,0.910677569,0.006193105
max,equal_sens_spec,0.26383701,98,10000,0.836951073,0.013071151,0.8457,0.016300307,0.095894308,0.023657079,0.050490087,0.012901227,0.100980175,0.025802454,0.163048927,0.013071151,0.682651073,0.028004421,0.9329551,0.012715002,0.924049379,0.03841314,0.896268715,0.006626103
max,lpt,0.04016525,98,10000,1,0,0.7306,0.065048443,0.06812439,0.008627882,0.035279891,0.004632016,0.070559783,0.009264032,0,0,0.7306,0.065048443,0.9329551,0.012715002,0.924049379,0.03841314,0.896268715,0.006626103
max,max_fpb,0.97926678,98,10000,0.301563692,0.0437799,0.9945,0.01064777,0.379122257,0.117913268,0.23884058,0.085058698,0.477681159,0.170117396,0.698436308,0.0437799,0.296063692,0.040314497,0.9329551,0.012715002,0.924049379,0.03841314,0.896268715,0.006626103
max,max_jaccard,0.97926678,98,10000,0.301563692,0.0437799,0.9945,0.01064777,0.379122257,0.117913268,0.23884058,0.085058698,0.477681159,0.170117396,0.698436308,0.0437799,0.296063692,0.040314497,0.9329551,0.012715002,0.924049379,0.03841314,0.896268715,0.006626103
max,max_sens_spec,0.18100936,98,10000,0.953862918,0.031009277,0.8109,0.024815318,0.089375165,0.016346249,0.046838791,0.008885481,0.093677583,0.017770963,0.046137082,0.031009277,0.764762918,0.04734014,0.9329551,0.012715002,0.924049379,0.03841314,0.896268715,0.006626103
max,max_sorensen,0.97926678,98,10000,0.301563692,0.0437799,0.9945,0.01064777,0.379122257,0.117913268,0.23884058,0.085058698,0.477681159,0.170117396,0.698436308,0.0437799,0.296063692,0.040314497,0.9329551,0.012715002,0.924049379,0.03841314,0.896268715,0.006626103
max,sensitivity,0.21117368,98,10000,0.864868693,0.022306885,0.8278,0.030738006,0.090397095,0.023549501,0.04746483,0.012839789,0.09492966,0.025679577,0.135131307,0.022306885,0.692668693,0.037141454,0.9329551,0.012715002,0.924049379,0.03841314,0.896268715,0.006626103
max,equal_sens_spec,0.23508627,98,10000,0.824713225,0.02359808,0.8254,0.017615334,0.085195242,0.022938669,0.044614227,0.012658674,0.089228453,0.025317349,0.175286775,0.02359808,0.650113225,0.040804536,0.921887939,0.016517806,0.943411415,0.019698828,0.903857858,0.004450886
max,lpt,0.1302561,98,10000,1,0,0.7102,0.054743264,0.064160559,0.01082618,0.033169308,0.00576107,0.066338617,0.011522139,0,0,0.7102,0.054743264,0.921887939,0.016517806,0.943411415,0.019698828,0.903857858,0.004450886
max,max_fpb,0.98799182,98,10000,0.275134953,0.084595278,0.9996,2.24E-04,0.411985287,0.104300831,0.263705644,0.081347164,0.527411288,0.162694328,0.724865047,0.084595278,0.274734953,0.084643667,0.921887939,0.016517806,0.943411415,0.019698828,0.903857858,0.004450886
max,max_jaccard,0.98799182,98,10000,0.275134953,0.084595278,0.9996,2.24E-04,0.411985287,0.104300831,0.263705644,0.081347164,0.527411288,0.162694328,0.724865047,0.084595278,0.274734953,0.084643667,0.921887939,0.016517806,0.943411415,0.019698828,0.903857858,0.004450886
max,max_sens_spec,0.1302561,98,10000,0.959559154,0.045874127,0.7798,0.025565113,0.078419217,0.010840929,0.04083634,0.005893202,0.08167268,0.011786404,0.040440846,0.045874127,0.739359154,0.029212042,0.921887939,0.016517806,0.943411415,0.019698828,0.903857858,0.004450886
max,max_sorensen,0.98799182,98,10000,0.275134953,0.084595278,0.9996,2.24E-04,0.411985287,0.104300831,0.263705644,0.081347164,0.527411288,0.162694328,0.724865047,0.084595278,0.274734953,0.084643667,0.921887939,0.016517806,0.943411415,0.019698828,0.903857858,0.004450886
max,sensitivity,0.21656276,98,10000,0.887595592,0.008234047,0.7647,0.064824378,0.071094265,0.01707059,0.036921908,0.00912532,0.073843817,0.018250641,0.112404408,0.008234047,0.652295592,0.064000509,0.921887939,0.016517806,0.943411415,0.019698828,0.903857858,0.004450886
max,equal_sens_spec,0.24307904,101,10000,0.917287289,0.049276013,0.9143,0.043784415,0.229813262,0.158572277,0.138054913,0.114907784,0.276109825,0.229815568,0.082712711,0.049276013,0.831587289,0.092895463,0.9717248,0.01354431,0.960634303,0.033661234,0.936999215,0.006234502
